annotation_id,tool,source_file,gold_capabilities,predicted_capabilities,exact_match,status,primary_prediction,normalized_concepts,matched_expressions,normalization_confidence,mapping_reason,is_ambiguous,error_analysis
1,fetch,c1c2c3.json,C1,C1,True,CORRECT,C1,External Data Ingestion,fetch,1.0,Tool matches: fetch. Evidence: C1 External Data Ingestion via 'fetch' (High) [openWorldHint=true supports external-facing capability -> raised one step],False,
2,read_mail,c1c2c3.json,C2,C2,True,CORRECT,C2,Sensitive Data Access,read_mail,0.7,Tool matches: read_mail. Evidence: C2 Sensitive Data Access via 'read_mail' (Medium),False,
3,send_mail,c1c2c3.json,C3,C3,True,CORRECT,C3,External Communication,send_mail,1.0,Tool matches: send_mail. Evidence: C3 External Communication via 'send_mail' (High) [openWorldHint=true supports external-facing capability -> raised one step],False,
4,echo,everything_tools.json,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
5,get-annotated-message,everything_tools.json,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
6,get-env,everything_tools.json,C2,C2,True,CORRECT,C2,Sensitive Data Access,env,0.7,Tool matches: env. Evidence: C2 Sensitive Data Access via 'env' (Medium),False,
7,get-resource-links,everything_tools.json,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
8,get-resource-reference,everything_tools.json,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
9,get-roots-list,everything_tools.json,C2,,False,MISCLASSIFIED,,,,1.0,No normalized capabilities found - UNMAPPED,False,NONE
10,get-structured-content,everything_tools.json,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
11,get-sum,everything_tools.json,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
12,get-tiny-image,everything_tools.json,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
13,gzip-file-as-resource,everything_tools.json,C4,"C1,C4",False,MISCLASSIFIED,C4,"State Modification,External Data Ingestion","gzip,openWorldHint",0.7,"Tool matches: gzip, openWorldHint. Evidence: C4 State Modification via 'gzip' (Medium); C1 External Data Ingestion via 'openWorldHint' (Low)",True,"pipeline false positive, unlike Error 1, where the gold label was probably wrong"
14,toggle-simulated-logging,everything_tools.json,C4,C4,True,CORRECT,C4,State Modification,toggle,0.7,Tool matches: toggle. Evidence: C4 State Modification via 'toggle' (Medium),False,
15,toggle-subscriber-updates,everything_tools.json,C4,C4,True,CORRECT,C4,State Modification,updates,1.0,Tool matches: updates. Evidence: C4 State Modification via 'updates' (High),False,
