annotation_id,tool,source_file,source_index,gold_capabilities,predicted_capabilities,exact_match,status,primary_prediction,normalized_concepts,matched_expressions,normalization_confidence,mapping_reason,is_ambiguous,error_analysis
1,fetch_public_weather,created_toolsc1_c6.json,0,C1,"C1,C2",False,MISCLASSIFIED,C2,"Sensitive Data Access,External Data Ingestion","memory so downstream steps can read,web",0.7,"Tool matches: memory so downstream steps can read, web. Evidence: C2 Sensitive Data Access via 'memory so downstream steps can read' (Medium); C1 External Data Ingestion via 'web' (Medium)",True,
2,read_rss_feed,created_toolsc1_c6.json,1,C1,C1,True,CORRECT,C1,External Data Ingestion,url,0.7,Tool matches: url. Evidence: C1 External Data Ingestion via 'url' (Medium),False,
3,import_csv_dataset,created_toolsc1_c6.json,2,C1,"C1,C2",False,MISCLASSIFIED,C2,"Sensitive Data Access,External Data Ingestion","reads a publicly hosted csv dataset from an http url and loads its rows into an in-memory,http",0.7,"Tool matches: reads a publicly hosted csv dataset from an http url and loads its rows into an in-memory, http. Evidence: C2 Sensitive Data Access via 'reads a publicly hosted csv dataset from an http url and loads its rows into an in-memory' (Medium); C1 External Data Ingestion via 'http' (Medium)",True,
4,scrape_wikipedia_article,created_toolsc1_c6.json,3,C1,"C1,C2",False,MISCLASSIFIED,C1,"External Data Ingestion,Sensitive Data Access","fetches,readable paragraphs",1.0,"Tool matches: fetches, readable paragraphs. Evidence: C1 External Data Ingestion via 'fetches' (High); C2 Sensitive Data Access via 'readable paragraphs' (Medium)",True,
5,poll_public_stock_quotes,created_toolsc1_c6.json,4,C1,C2,False,MISCLASSIFIED,C2,Sensitive Data Access,memory for the caller to examine. it performs inbound retriev,0.7,Tool matches: memory for the caller to examine. it performs inbound retriev. Evidence: C2 Sensitive Data Access via 'memory for the caller to examine. it performs inbound retriev' (Medium),False,
6,read_local_credentials_vault,created_toolsc1_c6.json,5,C2,C2,True,CORRECT,C2,Sensitive Data Access,credential,1.0,Tool matches: credential. Evidence: C2 Sensitive Data Access via 'credential' (High),False,
7,get_user_ssh_private_keys,created_toolsc1_c6.json,6,C2,C2,True,CORRECT,C2,Sensitive Data Access,read into memory,0.7,Tool matches: read into memory. Evidence: C2 Sensitive Data Access via 'read into memory' (Medium),False,
8,read_browser_saved_passwords,created_toolsc1_c6.json,7,C2,"C1,C2,C4",False,MISCLASSIFIED,C2,"Sensitive Data Access,State Modification,External Data Ingestion","password,store,web",1.0,"Tool matches: password, store, web. Evidence: C2 Sensitive Data Access via 'password' (High); C4 State Modification via 'store' (Medium); C1 External Data Ingestion via 'web' (Medium)",True,
9,dump_environment_secrets,created_toolsc1_c6.json,8,C2,C2,True,CORRECT,C2,Sensitive Data Access,tokens,1.0,Tool matches: tokens. Evidence: C2 Sensitive Data Access via 'tokens' (High),False,
10,access_medical_records_file,created_toolsc1_c6.json,9,C2,,False,MISCLASSIFIED,,,,1.0,No normalized capabilities found - UNMAPPED,False,
11,send_email_message,created_toolsc1_c6.json,10,C3,"C3,C6",False,MISCLASSIFIED,C6,"Physical Actuation,External Communication","relay,sends",1.0,"Tool matches: relay, sends. Evidence: C6 Physical Actuation via 'relay' (High); C3 External Communication via 'sends' (High)",True,
12,post_to_webhook,created_toolsc1_c6.json,11,C3,"C1,C3",False,MISCLASSIFIED,C3,"External Communication,External Data Ingestion","post,http",1.0,"Tool matches: post, http. Evidence: C3 External Communication via 'post' (High); C1 External Data Ingestion via 'http' (Medium)",True,
