annotation_id,tool,source_file,gold_capabilities,predicted_capabilities,exact_match,status,primary_prediction,normalized_concepts,matched_expressions,normalization_confidence,mapping_reason,is_ambiguous,error_analysis
1,echo,everything_tools.json,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
2,get-annotated-message,everything_tools.json,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
3,get-env,everything_tools.json,C2,C2,True,CORRECT,C2,Sensitive Data Access,env,0.7,Tool matches: env. Evidence: C2 Sensitive Data Access via 'env' (Medium),False,
4,get-resource-links,everything_tools.json,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
5,get-resource-reference,everything_tools.json,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
6,get-roots-list,everything_tools.json,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
7,get-structured-content,everything_tools.json,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
8,get-sum,everything_tools.json,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
9,get-tiny-image,everything_tools.json,,,True,CORRECT,,,,1.0,No normalized capabilities found - UNMAPPED,False,
10,gzip-file-as-resource,everything_tools.json,C4,"C1,C4",False,MISCLASSIFIED,C4,"State Modification,External Data Ingestion","gzip,openWorldHint",0.7,"Tool matches: gzip, openWorldHint. Evidence: C4 State Modification via 'gzip' (Medium); C1 External Data Ingestion via 'openWorldHint' (Low)",True,"The gold label is C4 because the tool compresses a file and returns the compressed resource, which involves processing/modifying file state. C1 was not assigned because the tool does not explicitly ingest external data; the pipeline incorrectly inferred C1 from openWorldHint=True, which is insufficient evidence for external data ingestion."
11,toggle-simulated-logging,everything_tools.json,C4,C4,True,CORRECT,C4,State Modification,toggle,0.7,Tool matches: toggle. Evidence: C4 State Modification via 'toggle' (Medium),False,
12,toggle-subscriber-updates,everything_tools.json,C4,C4,True,CORRECT,C4,State Modification,updates,1.0,Tool matches: updates. Evidence: C4 State Modification via 'updates' (High),False,
13,trigger-long-running-operation,everything_tools.json,,C4,False,MISCLASSIFIED,C4,State Modification,updates,0.7,Tool matches: updates. Evidence: C4 State Modification via 'updates' (Medium) [readOnlyHint=true contradicts write-side capability -> lowered one step],False,"The gold label is NONE because “updates” refers to progress updates reported during the long-running operation, not modification of persistent system or application state. The pipeline incorrectly mapped the word “updates” to C4 State Modification without considering the context. The readOnlyHint=True metadata also indicates that the tool is not intended to modify state."
